key	description_generated	description_generated_from	genes_shown	model	prompt_version	status
go:GO:0043410	positive regulation of MAPK cascade collects the many ways cells turn on the ERK, JNK and p38 kinase relays that convert surface signals into changes in proliferation, differentiation, migration, stress adaptation and inflammatory gene expression. Growth factor and cytokine receptors dominate it — the FGF, PDGF, EGF/ERBB, insulin/IGF, NTRK, KIT and VEGF receptor families — together with G protein-coupled receptors for catecholamines, lipids and neuropeptides, integrins and innate immune receptors such as the Toll-like receptors and MYD88. Their signals converge through adaptors and exchange factors (SHC1, FRS2, PTPN11, RASGRP1, GRB2-type scaffolds), small GTPases including HRAS and RAP1, scaffolds such as KSR1/2 and JIP proteins, and tiers of MAP3Ks and MAP2Ks feeding RAF–MEK–ERK or stress kinase output. Because this circuitry sets growth and survival decisions, its inappropriate activation underlies much of oncogenic transformation, fibrosis and chronic inflammation.	description+name+genes	484	claude-opus-5	v3	superseded
go:GO:0043410	Growth factors, cytokines, hormones and immune stimuli converge on mitogen-activated protein kinase cascades, and this is the collection of activators that turn those cascades up. Positive regulation of MAPK signalling determines whether a cell proliferates, differentiates, migrates, survives stress or mounts an inflammatory response, and its excess drives much of cancer and chronic inflammation. Receptor tyrosine kinases for FGF, EGF, PDGF, insulin/IGF, NGF and VEGF families feed through adaptors such as SHC1, FRS2, GRB2-associated proteins and the phosphatase PTPN11 to RAS proteins and the RAF-MEK-ERK module; parallel input from Toll-like receptors, MYD88, TRAF6 and MAP3K7 activates the stress-responsive JNK and p38 arms via MAP2K3, MAP2K6 and MAP2K7, with scaffolds including KSR1 and MAPK8IP proteins organising the tiers. G protein-coupled receptors, integrins, Wnt and TGF-beta ligands, and regulatory microRNAs also raise cascade output.	description+name+genes	484	claude-opus-5	v4	current
go:GO:0043414	Methylation is one of the most widespread covalent modifications in the cell, and this pathway covers its transfer onto proteins, RNA and other macromolecules using S-adenosylmethionine as donor. The consequences are broad: methylated histone lysines set chromatin states, arginine methylation by the PRMT family tunes RNA-binding proteins and spliceosomal Sm proteins, ribosomal RNA and tRNA methylations by the NSUN, TRMT and METTL enzymes license ribosome assembly and accurate, efficient translation, and N6-methyladenosine deposited by the METTL3-METTL14 complex with its cofactors controls mRNA fate. Specialized writers modify translation factors, protein N-termini and C-termini, and mitochondrial rRNA and tRNA, linking the pathway to oxidative phosphorylation. Loss of individual methyltransferases causes intellectual disability, mitochondrial disease and cancer, and the shared dependence on SAM ties these modifications to one-carbon and methionine metabolism.	description+name+genes	133	claude-opus-5	v4	current
go:GO:0043415	Skeletal muscle repairs itself after injury by activating resident satellite cells, which proliferate, fuse and rebuild damaged fibres; this pathway covers the inputs that drive that repair harder or faster, positively regulating skeletal muscle tissue regeneration. Its output determines how well muscle recovers from exercise damage, trauma or disease, and its failure contributes to the progressive wasting and fibrotic replacement seen in muscular dystrophies and in age-related sarcopenia. The myogenic transcription factor MYOD1 commits activated satellite cells to differentiation, with SOX15 and the homeodomain protein HOPX acting as transcriptional modulators of the progenitor state, while the nuclear receptor PPARD links regeneration to oxidative and lipid metabolic programmes in muscle. CAPN3, a muscle-specific calpain protease of the sarcomere, is required for normal repair and remodelling, and its loss causes limb-girdle muscular dystrophy.	description+name+genes	5	claude-opus-5	v4	current
go:GO:0043416	Skeletal muscle repairs itself after injury by activating satellite cells, which proliferate, fuse and rebuild damaged fibres; this pathway covers the inputs that set how readily and how far that regeneration proceeds. Its tuning matters because too little repair leaves progressive weakness and fibrosis, as seen in muscular dystrophies and in the blunted regenerative capacity of aged muscle, while unchecked activation exhausts the satellite cell pool. The myogenic transcription factor MYOD1 drives commitment of activated progenitors to differentiation, with SOX15 and HOPX acting on progenitor state, and the nuclear receptor PPARD links regeneration to oxidative fuel use and fibre-type character. Structural and sarcomeric components such as the calpain CAPN3 and the Z-disc protein MYOZ1 tie the integrity of the mature fibre back to repair signalling, connecting this biology to exercise adaptation, muscle growth and myopathy.	description+name+genes	9	claude-opus-5	v4	current
go:GO:0043433	Transcription factors are held in check as well as switched on, and this collection covers the processes that stop, prevent or reduce the activity of DNA-binding transcription factors. Much of the content concerns restraint of NF- inkB: IkB-family and IkB-like inhibitors, the deubiquitinases CYLD and OTULIN that strip activating ubiquitin chains from signalling intermediates, COMMD proteins that promote clearance of chromatin-bound subunits, and SETD6, which methylates an NF-kB subunit to keep target genes silent. Inflammasome-associated pyrin-domain proteins and NLR regulators such as NLRC3 damp innate immune transcriptional output, while ID proteins sequester E-box factors as dominant-negative partners and SIRT1 deacetylates factors to reduce their activity. The theme matters because loss of such brakes gives persistent inflammatory gene expression, autoimmunity and unchecked proliferation; FOXP3 and MEN1 link the same logic to regulatory T cell function and tumour suppression.	description+name+genes	68	claude-opus-5	v4	current
go:GO:0043434	Peptide hormones circulating in the blood — insulin, glucagon, growth hormone, leptin, angiotensin, oxytocin, ghrelin and the POMC-derived peptides among them — instruct cells to change metabolism, gene expression, secretion and growth, and the response to peptide hormone stimulus covers the receptors and downstream machinery that carry out those instructions. This is the basis of systemic glucose and lipid homeostasis, appetite and energy balance, blood pressure control, growth and reproduction; its derangement underlies type 2 diabetes, obesity and hypertension. Mechanistically it spans receptor tyrosine kinases signalling through IRS adaptors, PI3K, AKT and mTOR to GLUT4 trafficking and FOXO-dependent gluconeogenic genes; G protein-coupled receptors acting via adenylate cyclases, PKA and phospholipase C; and cytokine-like receptors using JAK kinases and STAT transcription factors, with SOCS proteins and phosphatases such as PTPN1 providing negative feedback.	description+name+genes	473	claude-opus-5	v4	current
go:GO:0043435	Corticotropin-releasing hormone is the hypothalamic trigger of the stress axis, and this pathway covers what a cell does once that signal arrives: how it changes secretion, gene expression and excitability in response. It is the entry point of the hypothalamic-pituitary-adrenal cascade, where CRH acting on pituitary corticotropes drives ACTH release and ultimately glucocorticoid output, while the same ligand family also shapes anxiety, arousal, appetite and autonomic tone in the brain and periphery. Two G protein-coupled receptors, CRHR1 and CRHR2, transduce the signal largely through cAMP, with CRHR1 dominating pituitary and anxiety-related responses and CRHR2 favouring peripheral and modulatory roles. Downstream, the immediate-early nuclear receptors NR4A1, NR4A2 and NR4A3 are rapidly induced and rewire transcription, including steroidogenic and neuropeptide genes; the anorectic peptide precursor CARTPT is among the neuropeptide outputs. Dysregulation contributes to depression, anxiety disorders and maladaptive stress responses.	description+name+genes	6	claude-opus-5	v4	current
go:GO:0043455	Control over the rate and extent of secondary metabolism here resolves, in humans, into regulation of melanin synthesis — a pigment not needed for cell growth but decisive for skin, hair and eye colour and for protection of keratinocytes and melanocytes against ultraviolet damage. The core switch is hormonal: POMC-derived melanocortin peptides act on MC1R to raise cyclic AMP and drive eumelanin production, while agouti signalling protein antagonises that receptor and shifts output toward pheomelanin. Downstream, melanosome identity and maturation depend on PMEL fibril formation, RAB38-directed trafficking, and transporters including ATP7A, SLC24A5, MFSD12 and the cystine machinery that sets substrate supply for TYRP1. Loss or variation in these components produces albinism, pigmentary dilution and the common human variation in complexion, and links pigmentation to melanosome biogenesis and lysosome-related organelle traffic.	description+name+genes	19	claude-opus-5	v4	current
go:GO:0043456	Control over flux through the pentose phosphate shunt determines how much glucose a cell diverts away from glycolysis toward NADPH and ribose-5-phosphate rather than ATP. That balance sets a cell's capacity to regenerate reduced glutathione and thioredoxin against oxidative stress and to supply sugar phosphates for nucleotide synthesis during growth, which is why proliferating and tumour cells lean on it heavily. Regulation here operates on two levels: the p53-inducible phosphatase TIGAR lowers fructose-2,6-bisphosphate, restraining glycolysis and pushing carbon into the oxidative branch with an antioxidant, apoptosis-limiting effect, while mTOR in complex with raptor and mLST8 couples nutrient and growth-factor status to biosynthetic demand for reducing equivalents. Aldolase links the shunt back to the glycolytic pool. Loss of this coordination leaves cells vulnerable to reactive oxygen species and redox-driven damage.	description+name+genes	6	claude-opus-5	v4	current
go:GO:0043457	Regulation of cellular respiration controls how fast mitochondria oxidise fuels and make ATP, tuning energy output to oxygen availability, nutrient supply and stress. It matters because respiratory rate sets the balance between ATP yield and reactive oxygen species production, and because its misregulation underlies the metabolic shift of hypoxic and inflammatory tissue, neurodegeneration, and cardiomyopathy. Control is exerted at several levels: transcription and replication of the mitochondrial genome (TEFM, PNPT1, PRDM16), assembly and remodelling of respiratory complexes (UQCC2, NDUFA4L2, DNAJC15), deacetylation of matrix enzymes by SIRT3, chaperone-mediated restraint of complex activity by TRAP1, and calcium and permeability transition gating through SLC25A23 and PPIF. Hypoxia acting via MIR210 and cytokine signals including interferon-gamma, TNF and IL-4 suppress oxidative phosphorylation, while PINK1 and PARK7 protect it, linking respiratory tone to immune activation and mitochondrial quality control.	description+name+genes	47	claude-opus-5	v3	superseded
go:GO:0043457	Cells tune how much of their fuel is burned oxidatively, and this regulatory layer sets the rate and extent of cellular respiration rather than carrying out the reactions themselves. The tuning matters because oxidative phosphorylation must be matched to oxygen availability, biosynthetic demand and redox safety: too much flux generates damaging reactive oxygen species, too little starves the cell of ATP. Inputs are diverse. SIRT3 deacetylates mitochondrial enzymes to raise oxidative capacity, PINK1 and PARK7 protect respiratory function and are mutated in Parkinson disease, PPIF governs the permeability transition pore, and a hypoxia-induced microRNA together with NDUFA4L2 dampens electron transport when oxygen is scarce. Inflammatory cytokines such as TNF, IFNG and IL4 remodel respiration during immune activation, while brown-fat and lipogenic transcription factors couple it to thermogenesis and nutrient state. Calcium and phosphate carriers, iron-sulfur and assembly factors provide further control points.	description+name+genes	47	claude-opus-5	v4	current
go:GO:0043462	This grouping collects proteins that tune the rate at which ATP-hydrolysing machines work, rather than performing the hydrolysis themselves. Two themes dominate. One is control of the sarco/endoplasmic reticulum calcium pump: the small transmembrane regulators phospholamban, sarcolipin and related micropeptides bind SERCA and restrain its calcium uptake, setting the speed of cardiac and skeletal muscle relaxation, while troponin and tropomyosin subunits govern the actin-activated ATPase of myosin during contraction. The other is regulation of chaperone ATPases, where J-domain cochaperones such as DNAJB11, DNAJB2 and DNAJC9 stimulate Hsp70 ATP turnover and AHSA1 accelerates the Hsp90 cycle, coupling nucleotide hydrolysis to productive client folding. Further members modulate AAA-ATPases and membrane translocases at the nuclear envelope and mitochondria. Loss of such restraint shows up as impaired calcium cycling in heart failure and as defective protein quality control.	description+name+genes	34	claude-opus-5	v4	current
go:GO:0043467	Cells must match their production of energy and of the carbon skeletons that feed biosynthesis to what the organism actually needs, and this collection covers the control layer imposed on those routes rather than the enzymes that carry them out. It matters because the same regulators set fasting versus fed metabolism, aerobic versus glycolytic ATP supply, and mitochondrial content and quality. Insulin and its receptor acting through IRS proteins, PI3K and AKT, the AMP-activated kinase subunits, mTOR with its partners RPTOR and MLST8, and cAMP-dependent protein kinase together tune glucose uptake, glycolysis and glycogen handling, the latter via the PPP1R3 family of glycogen-targeting phosphatase subunits and phosphorylase kinase. Transcriptional and hypoxic arms add HIF1A with ARNT, PPARA, PRDM16, TP53 and the sirtuins SIRT3 and SIRT6, while PINK1, PARK7 and PPIF link the same control to mitochondrial integrity. Dysregulation here underlies insulin resistance, glycogen storage disease and tumour metabolic reprogramming.	description+name+genes	138	claude-opus-5	v4	current
go:GO:0043470	Control over how fast cells break down sugars and glycogen lets tissues match ATP supply to demand and keeps blood glucose within range. The genes here are the regulators rather than the glycolytic enzymes themselves: insulin and its receptor, glucokinase setting hepatic and beta-cell glucose sensing, fructose-1,6-bisphosphatase and TIGAR opposing flux, and phosphofructokinase-2/fructose-bisphosphatase and phosphorylase kinase subunits gating glycogen mobilisation. Nutrient- and energy-sensing hubs dominate — AMPK subunits, the mTOR complex with RPTOR and MLST8, FLCN — alongside transcriptional control by HIF1A with ARNT, which shifts cells toward glycolysis under hypoxia, plus PPARA, MLXIPL, TP53 and chromatin regulators such as EP300, NCOR1, HDAC4 and SIRT6. Protein phosphatases and O-GlcNAc transferase add post-translational tuning. Loss of this regulation underlies hypoglycaemia and diabetes, glycogen storage disease, and the glycolytic reprogramming of tumours.	description+name+genes	65	claude-opus-5	v4	current
go:GO:0043473	pigmentation covers how melanin and related pigments are made, packaged and delivered to the tissues that display them, giving skin, hair and eye their colour and shielding skin from ultraviolet damage. Its failure produces albinism, piebaldism and Waardenburg syndrome, and the same signalling axis is co-opted in melanoma. The genes trace the whole route: MITF and SOX10 with KIT and EDNRB specify and expand the neural crest-derived melanocyte lineage; TYR, TYRP1, DCT, PMEL, OCA2 and SLC45A2 build and acidify the melanosome interior; and the BLOC/HPS complexes, AP-3 and AP-1 adaptors, and RAB27A-MYO5A-MLPH machinery sort cargo into this lysosome-related organelle and haul it along the cytoskeleton for transfer to keratinocytes. Hormonal tuning through POMC, MC1R and ASIP sets the balance between eumelanin and pheomelanin, linking pigmentation to endocrine and stress responses.	description+name+genes	117	claude-opus-5	v3	superseded
go:GO:0043473	Pigmentation covers how melanin and related pigments accumulate in skin, hair, eyes and inner ear, whether by making more pigment per cell or by generating more pigment cells. It determines visible colour, shields keratinocyte DNA from ultraviolet damage, and supports retinal and cochlear function; its failure gives albinism, Waardenburg and Hermansky-Pudlak syndromes, piebaldism and hearing loss, while dysregulated melanocyte growth underlies melanoma. Melanoblasts arise from neural crest under MITF, SOX10 and KIT signalling, then build melanosomes as lysosome-related organelles: tyrosinase and TYRP1 catalyse melanin synthesis, PMEL forms the internal matrix, and OCA2 and SLC45A2 set organelle pH and ion balance. Adaptor and biogenesis complexes together with Rab GTPases deliver cargo to maturing melanosomes, and myosin Va with RAB27A and melanophilin captures them for transfer to neighbouring cells. Melanocortin receptor signalling opposed by agouti protein tunes the pigment type produced.	description+name+genes	117	claude-opus-5	v4	current
go:GO:0043476	Pigment accumulation is the concentration of coloring matter at a defined site in a cell or tissue, typically in response to an external cue such as ultraviolet light, and in humans it accounts for skin, hair and eye color as well as retinal pigment epithelium function. The genes here point to how melanin is confined to lysosome-related organelles: adaptor complexes AP-1 and AP-3 sort melanogenic enzymes and transporters into forming melanosomes, BLOC-1 subunits drive tubular cargo transport out of endosomes, the Rab32/Rab38 pair with its effector machinery directs vesicle delivery, and CD63 marks the organelle membrane. SHROOM proteins shape the apical cytoskeleton of pigmented epithelia, while glucuronidation and ABC-family transport handle conjugation and efflux of pigment-related metabolites. Loss of these trafficking steps produces hypopigmentation syndromes combining albinism with bleeding and immune defects.	description+name+genes	14	claude-opus-5	v4	current
go:GO:0043484	Most human genes produce more than one mRNA, and the choice of which exons survive is made by the regulators collected here. Control over RNA splicing determines cell-type-specific protein isoforms as neurons, muscle and epithelia each impose their own splicing programme and its disruption underlies myotonic dystrophy, spinal muscular atrophy-like phenotypes, cardiomyopathy and many cancers. Sequence-specific RNA-binding proteins such as the SR family, hnRNPs, NOVA, RBFOX, PTBP, CELF, MBNL, QKI and ESRP bind enhancer and silencer elements to promote or repress spliceosome recruitment at competing sites, while core snRNP and spliceosomal components provide the catalytic machinery being tuned. Kinases of the CLK and SRPK families, arginine methylation by PRMT5, and m6A writers and readers add post-transcriptional control, and coupling to transcription and to nonsense-mediated decay links splice-site choice to overall gene output.	description+name+genes	198	claude-opus-5	v4	current
go:GO:0043490	Malate-aspartate shuttle moves the reducing power of cytosolic NADH into mitochondria, since the inner membrane is impermeable to NADH itself. This is what allows glycolysis to keep running while its electrons are oxidized on the respiratory chain, and it sets the cytosolic NAD+/NADH ratio that governs whether pyruvate is burned or converted to lactate. It works as a cycle of two paired enzymes and two carriers: cytosolic malate dehydrogenase reduces oxaloacetate to malate, which enters via the oxoglutarate carrier and is re-oxidized inside, while transaminases and the aspartate-glutamate carriers return carbon to the cytosol. The neuronal and hepatic aspartate-glutamate carrier isoforms link the shuttle to glutamate handling and urea cycle nitrogen; their loss causes citrin deficiency and epileptic encephalopathy, illustrating how tightly energy metabolism, amino acid flux and redox balance are coupled here.	description+name+genes	9	claude-opus-5	v3	superseded
go:GO:0043490	The inner mitochondrial membrane is impermeable to NADH, so cytosolic reducing equivalents generated by glycolysis must be moved indirectly; the malate-aspartate shuttle does this by carrying the electrons as malate. Without it, glycolytic NAD+ cannot be regenerated by oxidative means and cells fall back on lactate production, so the cycle underpins the coupling of glycolysis to oxidative phosphorylation and is especially relied upon in heart, liver, brain and pancreatic beta cells, where it contributes to glucose-stimulated insulin secretion. Paired cytosolic and mitochondrial isoforms of aspartate aminotransferase (GOT1, GOT2) and malate dehydrogenase (MDH1, MDH2) interconvert malate, oxaloacetate, aspartate and glutamate on either side of the membrane, while the dicarboxylate, aspartate-glutamate and glutamate carriers of the SLC25 family move the intermediates across. Loss of the liver aspartate-glutamate carrier SLC25A13 causes citrin deficiency, with impaired ureagenesis and hyperammonemia.	description+name+genes	9	claude-opus-5	v4	current
go:GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction is the core growth and survival cassette that converts signals from surface receptors into lipid second messengers and Akt activity, coupling nutrient and mitogen availability to cell growth, metabolism, motility and resistance to apoptosis. Its outputs govern insulin action on glucose uptake, angiogenesis, immune cell activation and neuronal survival, and its constitutive activation through PIK3CA mutation or PTEN loss is among the commonest events in human cancer. Ligand-engaged receptor tyrosine kinases, cytokine, integrin and G protein-coupled receptors recruit class I PI3K catalytic and regulatory subunits via adaptors such as IRS1/2 and GAB1; the resulting phosphoinositides bring PDPK1 and AKT1 to the membrane, feeding into TSC2/mTOR complexes and autophagy regulators. Phosphatases including PTEN, INPPL1 and PHLPP1, plus inhibitory microRNAs, set signal duration and amplitude.	description+name+genes	346	claude-opus-5	v3	superseded
go:GO:0043491	A signalling cassette that converts stimulation of surface receptors into cell growth, survival and metabolic commitment. Growth factor, cytokine, integrin and hormone receptors — insulin and IGF receptors, EGFR family members, PDGFR, KIT, FLT3, RET and the neurotrophin receptors — recruit class I phosphoinositide 3-kinase catalytic and regulatory subunits through adaptors such as IRS1/2, GAB1 and PTPN11. The resulting phosphoinositide pool docks PDPK1 and Akt at the membrane, and phosphorylated Akt then suppresses apoptosis, drives glucose uptake, and releases mTOR complex activity by inactivating TSC2, linking this route to nutrient sensing and autophagy control. Opposing activities set the tone: PTEN and other inositol phosphatases degrade the lipid signal, PHLPP1 and PP2A dephosphorylate the kinase, and numerous microRNAs tune the components. Persistent activation through PIK3CA mutation or PTEN loss is among the commonest oncogenic events, while impaired signalling underlies insulin resistance.	description+name+genes	346	claude-opus-5	v4	current
go:GO:0043500	Muscle is a plastic tissue: its fibre size, contractile protein composition and metabolic capacity are continually reset by use, load, hormones and nutrient supply, and this adaptive remodelling is what produces endurance versus strength phenotypes, cardiac hypertrophy in response to pressure overload, and the wasting that follows disuse, denervation or chronic illness. Contractile activity raises calcium, engaging calmodulin-dependent kinases and calcineurin to drive MEF2- and myogenin-directed transcription and switches between slow and fast myosin and troponin isoforms. Growth signals through IGF1 act against myostatin and the FOXO-driven atrophy programme, in which the muscle-specific ubiquitin ligases encoded by FBXO32 and TRIM63 target sarcomeric proteins for degradation. Sarcolemmal and sarcoplasmic reticulum components, PPAR-family metabolic regulators, and a large complement of muscle-enriched microRNAs including the miR-1, miR-133 and miR-208/499 families tune the response. Satellite-cell-based repair and fusion contribute to the structural side of adaptation.	description+name+genes	126	claude-opus-5	v4	current
go:GO:0043501	Skeletal muscle adapts its size, fibre-type composition and contractile properties to the demands placed on it, and this remodelling programme is what converts training, disuse, denervation or hormonal change into lasting alterations in muscle phenotype. It matters for endurance versus power performance, for recovery after immobilisation, and for the atrophy seen in ageing, cachexia and heart failure. Calcium released through the excitation-contraction machinery is read out by calmodulin-dependent kinases and the phosphatase calcineurin, whose catalytic subunit PPP3CA drives slow, oxidative gene expression; the resulting shift is visible in slow-fibre contractile proteins such as MYH7, TNNI1, TNNT1 and TNNC1, with myomiRs encoded within myosin genes reinforcing the switch. Opposing arms set mass: myostatin restrains growth, the ubiquitin ligase TRIM63 marks sarcomeric proteins for degradation during atrophy, while MYOD1 and fusion machinery support regeneration and myonuclear addition.	description+name+genes	23	claude-opus-5	v4	current
go:GO:0043502	Muscle remodels itself in response to load, hormones and activity, and this collection governs how far and how fast that adaptation proceeds yen in cardiac hypertrophy, skeletal fibre-type switching, and atrophy during disuse or disease. Calcium-dependent signalling is central: calcineurin and CaMKII isoforms, working with MEF2 transcription factors and the repressor HDAC4, translate contractile activity into changes in gene expression, while sarcoplasmic reticulum and sarcolemmal calcium handling proteins such as ATP2A2 and calsequestrin set the signal itself. Growth input through IGF1 opposes FOXO1/FOXO3, which drive the atrophy-associated ubiquitin ligases TRIM63 and FBXO32 and autophagic protein breakdown, so the balance of these arms determines whether muscle mass is gained or lost. A large complement of microRNAs, including the muscle-enriched miR-1, miR-133 and miR-208 families, tunes the same programme. Slow and fast troponin and myosin isoforms mark the resulting phenotypes, and dysregulation underlies pathological cardiac hypertrophy, cachexia and sarcopenia.	description+name+genes	99	claude-opus-5	v4	current
go:GO:0043504	mitochondrial DNA repair keeps the mitochondrial genome intact so that the handful of genes it encodes for the respiratory chain and mitochondrial translation remain readable. Mitochondrial DNA sits close to the site of oxidative phosphorylation and accumulates oxidative lesions, strand breaks and deletions; without repair and tolerance mechanisms these accumulate into the large deletions and depletion seen in mitochondrial myopathies, neurodegeneration and ageing tissue. The genes here cover the main routes available in the organelle: base excision repair completed by a mitochondrial ligase and PARP1-mediated break sensing, nuclease and helicase activities that trim flaps and degrade damaged linear ends, and a primase-polymerase that permits replication restart past lesions rather than repairing them outright. The pathway therefore links genome maintenance to mitochondrial replication and turnover, and its failure is registered as loss of oxidative capacity rather than as nuclear mutation.	description+name+genes	6	claude-opus-5	v3	superseded
go:GO:0043504	Mitochondria carry their own small genome close to the respiratory chain, where reactive oxygen species and replication stress leave it heavily damaged, and repairing that DNA keeps oxidative phosphorylation genes intact. Loss of this capacity leads to mitochondrial DNA deletions, depletion and point mutations, and underlies mitochondrial myopathies and progressive multi-organ disease as mutant genomes accumulate with age. The proteins here cover the main routes available in the organelle: base excision repair completed by a ligase that seals nicks, nuclease and exonuclease activities that trim flaps and degrade damaged or linear mitochondrial DNA, a primase-polymerase able to reprime replication past lesions, and a poly(ADP-ribose) polymerase that senses strand breaks. Because the organelle lacks nucleotide excision repair, tolerance and degradation of damaged genomes, rather than repair of every lesion, substantially shapes mitochondrial genome maintenance and copy number.	description+name+genes	6	claude-opus-5	v4	current
go:GO:0043506	JNK, the stress-activated arm of the MAP kinase family, converts inflammatory and stress signals into changes in transcription that determine whether a cell proliferates, differentiates or dies, and the genes here set how strongly and how long that kinase is switched on. Upstream MAP kinase kinase kinases such as MAP3K7, MAP3K4 and the mixed-lineage kinases MAP3K10 and MAP3K11 feed the cascade, while the adaptors TRAF2 and TRAF6 couple it to tumour necrosis factor and Toll-like receptor engagement, placing this control immediately downstream of innate immune and cytokine sensing. Scaffolding by MAPK8IP1 assembles the kinase module and focuses signalling, and negative regulators including AIDA and PDCD4 restrain output. Because sustained JNK activity drives apoptosis and inflammatory gene expression, the balance struck here matters in chronic inflammation, autoimmunity, insulin resistance and tumour cell survival.	description+name+genes	19	claude-opus-5	v4	current
go:GO:0043507	Stress, inflammatory cytokines and innate immune stimuli converge on the c-Jun N-terminal kinase branch of MAP kinase signalling, and this pathway covers the upstream events that switch it on. The output shapes whether a cell mounts an inflammatory transcriptional response, arrests, differentiates or dies by apoptosis, and sustained activation contributes to chronic inflammation, insulin resistance and neuronal injury. Ligand-engaged receptors such as the TLR2/TLR6 heterodimer and TNF receptors recruit the adaptors TRAF6 and TRAF2, which nucleate ubiquitin-dependent assembly of MAP3K7 (TAK1) and related kinases. Mixed-lineage kinases MAP3K10 and MAP3K11, together with MAP3K4, TAOK3 and the germinal-centre kinase MAP4K2, act as the tier that phosphorylates JNK-activating MAP2Ks, while a Rho-family exchange factor links cytoskeletal and adhesion cues into the same cascade, ultimately driving AP-1-dependent transcription.	description+name+genes	12	claude-opus-5	v4	current
go:GO:0043508	JNK signalling drives stress-activated transcription through phosphorylation of JUN, and pushing it too hard or for too long tips cells toward apoptosis, inflammatory cytokine output and insulin resistance; negative regulation of JUN kinase activity is the brake that keeps the cascade proportionate and self-limiting. The restraint is applied at several levels. Scaffold-type proteins such as MAPK8IP1 and AIDA govern whether the upstream kinases assemble productively with JNK or are held apart, so the same binding surfaces that enable signalling can also suppress it. Phosphatase activity, exemplified by PTPN22 in immune cells, removes activating marks, while chaperone and kinase components including DNAJA1 and HIPK3 tune stability and pathway crosstalk. Loss of this damping contributes to excessive stress-induced cell death and to chronic inflammatory and metabolic disease, and the pathway operates alongside dual-specificity phosphatase feedback on other MAP kinase arms.	description+name+genes	7	claude-opus-5	v4	current
go:GO:0043516	When DNA is damaged, p53 converts that signal into arrest, repair or death, and this pathway covers the inputs that set how strongly and how long that response runs. Tuning matters in both directions: too little and damaged cells divide and accumulate mutations, too much and tissues lose stem and progenitor cells to unnecessary apoptosis, which is why tumours so often disable the restraints. The apical kinases ATM and ATR initiate the cascade, while MDM2 caps it by targeting p53 for degradation and CDKN2A/ARF relieves that brake. A further layer works on p53 itself through covalent marks, including deacetylation by SIRT1 and methylation by SMYD2 and KMT5A, alongside chromatin and nucleolar factors such as KDM1A, ING4 and NPM1. Output is biased toward particular fates by cofactors, with PMAIP1 and ZNF385A favouring apoptotic versus arrest-associated target genes.	description+name+genes	38	claude-opus-5	v4	current
go:GO:0043517	When DNA is broken or replication stalls, p53 must be switched on quickly and kept on long enough to impose a cell cycle arrest or trigger death, and this pathway covers the inputs that push that decision forward. Amplifying p53 signalling is how cells with damaged genomes are prevented from dividing, which is why loss of these components favours tumour formation and why their activity sets sensitivity to radiation and chemotherapy. The apical kinases ATM and ATR sense double-strand breaks and replication stress and phosphorylate p53 and its regulators; CDKN2A acts through the ARF arm to stabilise p53 by opposing its ubiquitin-mediated turnover; RPL26 binds p53 mRNA to raise its translation; ZNF385A biases the response toward apoptotic targets such as PMAIP1. Together they determine whether a damaged cell pauses, repairs, senesces or dies.	description+name+genes	17	claude-opus-5	v4	current
go:GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator is the braking system on p53 signalling, setting how much arrest, senescence or apoptosis a cell commits to after its DNA is damaged. It matters because unrestrained p53 output kills or permanently arrests cells that could be repaired, while excessive braking allows damaged cells to keep dividing — the route by which many tumours inactivate p53 without mutating it. The dominant mechanism is ubiquitin-dependent turnover through MDM2, reinforced by gankyrin (PSMD10) and other ubiquitin ligase components; deacetylation by SIRT1 and demethylation by KDM1A strip p53 of activating modifications, and DYRK kinases and the cytokine MIF, acting via CD74, damp the response from outside the nucleus. Notably, the EMT transcription factors SNAI1, SNAI2 and TWIST1 suppress p53 output, linking checkpoint attenuation to invasive and stem-like cell states.	description+name+genes	15	claude-opus-5	v3	superseded
go:GO:0043518	Damage-induced p53 signalling must be switched off once repair is complete, and damping of this DNA damage response by p53-class mediators sets how readily a cell commits to arrest, senescence or apoptosis. The brake matters in both directions: too much restraint lets damaged cells proliferate and is a route to tumour formation, while too little causes excessive cell death and loss of stem and progenitor pools. MDM2 is the central ubiquitin ligase that targets p53 for degradation and holds its level low in unstressed cells; SIRT1 deacetylates p53 to blunt its transcriptional output, and the demethylase KDM1A removes methyl marks that otherwise stabilise activated p53. DYRK-family kinases, the gankyrin proteasome regulator PSMD10, and the mesenchymal transcription factors SNAI1, SNAI2 and TWIST1 add further repression, linking p53 suppression to epithelial-mesenchymal transition and to signals from MIF and CD74.	description+name+genes	15	claude-opus-5	v4	current
